title,link,rubric,date,image_url,club_tags,league,scraped_at
"«Ювентус» — «Милан»: когда начало, где смотреть онлайн матч Серии А 5 октября5 октября 15:00",https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2252277_Juventus__Milan_kogda_nachalo_gde_smotret_onlajn_match_Serii_A_5_oktabra,Футбол,5 октября 15:00,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Ювентус, Милан",Серия А,2025-10-14 09:31:57
Удинезе - Кальяри. 0:1. Гол Дженнаро Боррелли (видео). Чемпионат Италии. Футбол5 октября 14:04,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Italiya/spbvideo_NI2252242_clip_Udineze___Kaljari_01_Gol_Dzhennaro_Borrelli_video_Chempionat_Italii_Futbol,Италия,5 октября 14:04,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Серия А,2025-10-14 09:31:57
Удинезе - Кальяри. Чемпионат Италии. Тур 65 октября 13:20,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Italiya/spbvideo_NI2247943_translation_Udineze___Kaljari_Chempionat_Italii_Tur_6,Италия,5 октября 13:20,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Серия А,2025-10-14 09:31:57
Менхенгладбахская «Боруссия» и «Фрайбург» сыграли вничью в матче чемпионата Германии5 октября 22:50,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2252652_Menkhengladbahskaja_Borussija_i_Frajburg_sygrali_vnichju_v_matche_chempionata_Germanii,Европа,5 октября 22:50,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Боруссия Дортмунд,Бундеслига,2025-10-14 09:32:05
«Бавария» разгромила «Айнтрахт» в матче чемпионата Германии4 октября 21:34,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2251959_Bavarija_razgromila_Ajntraht_v_matche_chempionata_Germanii,Германия,4 октября 21:34,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Бавария,Бундеслига,2025-10-14 09:32:05
Дортмундская «Боруссия» сыграла вничью с «Лейпцигом» в матче чемпионата Германии4 октября 18:37,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2251814_Dortmundskaja_Borussija_sygrala_vnichju_s_Lejpcigom_v_matche_chempionata_Germanii,Германия,4 октября 18:37,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Боруссия Дортмунд, РБ Лейпциг",Бундеслига,2025-10-14 09:32:05
"Президент «Байера» призвал ввести потолок зарплат в футболе, чтобы ограничить влияние клубов АПЛ на трансферном рынке30 сентября 11:06",https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2250293_Prezident_Bajjera_prizval_vvesti_potolok_zarplat_v_futbole_chtoby_ogranichit_vlijanije_klubov_APL_na_transfernom_rynke,Германия,30 сентября 11:06,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
«Лейпциг» обыграл «Вольфсбург» и выиграл четвертый матч подряд в Бундеслиге27 сентября 18:39,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2249166_Lejpcig_obygral_Volfsburg_i_vyigral_chetvertyj_match_podrad_v_Bundeslige,Германия,27 сентября 18:39,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"РБ Лейпциг, Вольфсбург",Бундеслига,2025-10-14 09:32:05
"Кейн: «Пока не собираюсь в Англию, «Бавария» — лучшее место для завоевания трофеев»27 сентября 02:11",https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2248900_Kejn_Poka_ne_sobirajus_v_Angliju_Bavarija__luchsheje_mesto_dla_zavojevanija_trofejev,Германия,27 сентября 02:11,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Бавария,Бундеслига,2025-10-14 09:32:05
Дубль Кейна помог «Баварии» разгромить «Вердер» в матче чемпионата Германии26 сентября 23:40,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2248881_Dubl_Kejna_pomog_Bavarii_razgromit_Verder_v_matche_chempionata_Germanii,Европа,26 сентября 23:40,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
