title,link,rubric,date,image_url,club_tags,league,scraped_at
"В РФС заявили, что при необходимости рассмотрят вопрос повторного обращения в CAS по отстранению российских команд7 ноября 10:51",https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2264355_V_RFS_zajavili_chto_pri_neobkhodimosti_rassmotrat_vopros_povtornogo_obrashhenija_v_CAS_po_otstraneniju_rossijskih_komand,Футбол,7 ноября 10:51,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-11-21 14:27:44
"Глава общества «Динамо» признался, что футбольной команде не хватает еврокубков7 ноября 10:31",https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2264352_Glava_obshhestva_Dinamo_priznalsa_chto_futbolnoj_komande_ne_khvatajet_jevrokubkov,Футбол,7 ноября 10:31,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Динамо,Лига Чемпионов,2025-11-21 14:27:44
"«Барселона» сообщила об отмене бесплатных шаттлов в Брюгге после того, как сгорел один из автобусов6 ноября 04:24",https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2263935_Barselona_soobshhila_ob_otmene_besplatnyh_shattlov_v_Brugge_posle_podzhoga_avtobusa,Лига чемпионов,6 ноября 04:24,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Барселона,Лига Чемпионов,2025-11-21 14:27:44
Болельщики «Барселоны» сожгли крышу автобуса перед матчем с «Брюгге» — СМИ6 ноября 01:19,https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2263928_Bolelshhiki_Barselony_sozhgli_kryshu_avtobusa_pered_matchem_s_Brugge__SMI,Лига чемпионов,6 ноября 01:19,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-11-21 14:27:44
"«Барселона» сыграла вничью с «Брюгге» в Лиге чемпионов, «Манчестер Сити» разгромил «Боруссию»6 ноября 00:59",https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2263927_Barselona_sygrala_vnichju_s_Brugge_v_Lige_chempionov_Manchester_Siti_razgromil_Borussiju,Лига чемпионов,6 ноября 00:59,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Манчестер Сити, Барселона",Лига Чемпионов,2025-11-21 14:27:44
"«Челси» и «Карабах» сыграли вничью в Лиге чемпионов, «Пафос» обыграл «Вильярреал»5 ноября 22:43",https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2263878_Chelsi_i_Karabah_sygrali_vnichju_v_Lige_chempionov_Pafos_obygral_Viljarreal,Футбол,5 ноября 22:43,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Челси, Реал Мадрид, Вильярреал, Реал",Лига Чемпионов,2025-11-21 14:27:44
"«Ливерпуль» обыграл «Реал», «Бавария» была сильнее «ПСЖ» — результаты Лиги чемпионов5 ноября 01:04",https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2263498_Liverpul_obygral_Real_Bavarija_byla_silneje_PSZh__rezultaty_Ligi_chempionov,Лига чемпионов,5 ноября 01:04,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Ливерпуль, Реал Мадрид, Бавария, ПСЖ, Реал",Лига Чемпионов,2025-11-21 14:27:44
«Арсенал» разгромил «Славию» в матче Лиги чемпионов4 ноября 22:57,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2263461_Arsenal_razgromil_Slaviju_v_matche_Ligi_chempionov,Европа,4 ноября 22:57,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Арсенал,Лига Чемпионов,2025-11-21 14:27:44
Полузащитник «Арсенала» Доумен стал самым молодым дебютантом в истории Лиги чемпионов4 ноября 22:39,https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2263458_Poluzashhitnik_Arsenala_Doumen_stal_samym_molodym_debutantom_v_istorii_Ligi_chempionov,Футбол,4 ноября 22:39,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Арсенал,Лига Чемпионов,2025-11-21 14:27:44
«Бавария» подала протест в УЕФА из‑за действий парижской полиции перед матчем с «ПСЖ»4 ноября 08:52,https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2263291_Bavarija_podala_protest_v_UJeFA_izza_dejstvij_parizhskoj_policii_pered_matchem_s_PSZh,Лига чемпионов,4 ноября 08:52,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Бавария, ПСЖ",Лига Чемпионов,2025-11-21 14:27:44
